City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Te Anau,NZ,2021-11-08 02:48:41,-45.4167,167.7167,67.66,50,82,4.79,broken clouds
60,Busselton,AU,2021-11-08 02:47:26,-33.65,115.3333,68.04,48,3,10.04,clear sky
61,Yellowknife,CA,2021-11-08 02:48:42,62.456,-114.3525,27.41,99,90,5.75,light snow
62,Veinticinco De Mayo,AR,2021-11-08 02:48:42,-35.4323,-60.1727,63.05,83,1,5.14,clear sky
63,Rikitea,PF,2021-11-08 02:48:42,-23.1203,-134.9692,75.54,75,100,12.5,light rain
64,Cherskiy,RU,2021-11-08 02:48:43,68.75,161.3,-0.04,100,92,3.65,overcast clouds
65,Sao Joao Da Barra,BR,2021-11-08 02:43:46,-21.6403,-41.0511,70.75,76,100,6.78,overcast clouds
66,Beringovskiy,RU,2021-11-08 02:48:43,63.05,179.3167,15.67,91,29,6.73,scattered clouds
67,Luanda,AO,2021-11-08 02:45:03,-8.8368,13.2343,75.09,82,92,7.23,overcast clouds
68,Abhar,IR,2021-11-08 02:48:43,36.1468,49.218,35.01,29,0,4.68,clear sky
69,Mirnyy,RU,2021-11-08 02:48:44,62.5353,113.9611,25.56,91,100,9.66,overcast clouds
70,Amahai,ID,2021-11-08 02:48:44,-3.3333,128.9167,86.83,65,23,4.99,few clouds
71,Santa Rosa,PH,2021-11-08 02:48:45,14.3122,121.1114,87.12,73,53,11.81,broken clouds
72,Otuzco,PE,2021-11-08 02:48:45,-7.9,-78.5833,28.72,75,94,0.18,overcast clouds
73,Safford,US,2021-11-08 02:48:45,32.834,-109.7076,72.36,24,1,6.91,clear sky
74,Visby,SE,2021-11-08 02:48:46,57.6409,18.296,41.86,75,75,19.57,broken clouds
75,Longyearbyen,SJ,2021-11-08 02:48:46,78.2186,15.6401,13.84,67,75,3.44,broken clouds
76,Uray,RU,2021-11-08 02:48:46,60.1247,64.7758,33.33,97,100,10.38,overcast clouds
77,Port Elizabeth,ZA,2021-11-08 02:48:47,-33.918,25.5701,61.09,88,20,6.91,few clouds
78,Narsaq,GL,2021-11-08 02:48:47,60.9167,-46.05,30.42,81,100,1.95,overcast clouds
79,Ambovombe,MG,2021-11-08 02:48:47,-25.1667,46.0833,71.94,71,36,4.72,scattered clouds
80,Mount Gambier,AU,2021-11-08 02:48:48,-37.8333,140.7667,60.71,51,90,10.36,overcast clouds
81,Nome,US,2021-11-08 02:48:48,64.5011,-165.4064,21.27,79,90,11.5,light snow
82,Bintulu,MY,2021-11-08 02:48:48,3.1667,113.0333,82.81,88,20,5.01,few clouds
83,Quelimane,MZ,2021-11-08 02:48:49,-17.8786,36.8883,71.55,94,0,0.0,clear sky
84,Bouna,CI,2021-11-08 02:48:49,9.2667,-3.0,76.3,72,22,4.79,few clouds
85,Chilca,PE,2021-11-08 02:48:49,-12.5211,-76.7372,65.61,87,100,4.43,overcast clouds
86,Salmas,IR,2021-11-08 02:48:50,38.1973,44.7653,32.99,71,1,1.59,clear sky
87,Faanui,PF,2021-11-08 02:48:50,-16.4833,-151.75,79.52,74,23,9.53,few clouds
88,Qaanaaq,GL,2021-11-08 02:47:22,77.484,-69.3632,2.91,70,55,7.47,broken clouds
89,Inzer,RU,2021-11-08 02:48:51,54.2167,57.5556,34.56,95,100,2.84,snow
90,Takehara,JP,2021-11-08 02:48:51,34.3383,132.9167,73.22,82,75,9.22,broken clouds
91,Pedro Betancourt,CU,2021-11-08 02:48:51,22.7272,-81.29,72.14,74,1,6.29,clear sky
92,Maswa,TZ,2021-11-08 02:48:52,-2.6833,33.9833,66.07,67,17,1.63,few clouds
93,Tiksi,RU,2021-11-08 02:49:52,71.6872,128.8694,13.82,78,100,24.61,overcast clouds
94,Micheweni,TZ,2021-11-08 02:49:52,-4.9667,39.8333,75.51,83,85,3.44,overcast clouds
95,Mehamn,NO,2021-11-08 02:49:53,71.0357,27.8492,27.34,87,100,2.89,light snow
96,Bredasdorp,ZA,2021-11-08 02:49:53,-34.5322,20.0403,52.92,82,83,4.61,broken clouds
97,Waipawa,NZ,2021-11-08 02:49:53,-41.4122,175.5153,66.83,67,31,5.61,scattered clouds
98,Leningradskiy,RU,2021-11-08 02:49:54,69.3833,178.4167,8.8,83,61,10.2,broken clouds
99,Elbistan,TR,2021-11-08 02:49:54,38.2059,37.1983,48.79,44,97,1.01,overcast clouds
100,Srednekolymsk,RU,2021-11-08 02:49:54,67.45,153.6833,4.15,96,100,6.46,overcast clouds
101,Klingenthal,DE,2021-11-08 02:49:55,50.3667,12.4667,40.84,91,70,6.64,broken clouds
102,Upernavik,GL,2021-11-08 02:49:55,72.7868,-56.1549,9.86,76,5,6.17,clear sky
103,Ahipara,NZ,2021-11-08 02:49:55,-35.1667,173.1667,64.96,81,44,5.12,scattered clouds
104,Port Alfred,ZA,2021-11-08 02:47:24,-33.5906,26.891,64.42,86,100,7.74,light rain
105,Kourou,GF,2021-11-08 02:49:56,5.1552,-52.6478,81.1,88,99,8.05,overcast clouds
106,Emerald,AU,2021-11-08 02:49:56,-23.5333,148.1667,86.14,58,75,5.75,light rain
107,Guilin,CN,2021-11-08 02:49:57,25.2819,110.2864,51.91,44,80,15.57,broken clouds
