City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
276,Taitung,TW,82.67,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
277,Pangai,TO,75.31,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
281,Nelson Bay,AU,77.76,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
285,Biak,ID,83.71,overcast clouds,-0.9131,122.8766,Penginapan Kim
286,Honiara,SB,85.57,broken clouds,-9.4333,159.95,Heritage Park Hotel
293,Brazzaville,CG,77.31,light rain,-4.2658,15.2832,Hotel Muesse
297,Nakhon Nayok,TH,88.02,broken clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
304,Islamkot,PK,78.46,broken clouds,24.6997,70.177,Haji Hotel
307,Ambilobe,MG,76.14,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
312,Ransang,PH,85.95,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
321,Tera,NE,80.17,overcast clouds,14.0078,0.7531,Hotel Dar es salam
322,Bengkulu,ID,82.06,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
326,Jaitaran,IN,76.46,overcast clouds,26.2031,73.9364,"Sheetal Bhoomi Seervi Resort, Bhakarwas"
328,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
330,Ipatinga,BR,75.27,clear sky,-19.4683,-42.5367,Panorama Tower Hotel
331,Koudougou,BF,79.5,overcast clouds,12.25,-2.3667,VAREK OCADES
336,Matara,LK,76.84,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
340,Coahuayana,MX,76.73,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
343,Puerto Ayacucho,VE,76.21,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
345,Humacao,PR,77.74,few clouds,18.1497,-65.8274,Quebrada Calle Cruz de Malta
348,Yanam,IN,77.4,broken clouds,16.7333,82.2167,The Regency Hotel
355,Monrovia,LR,78.06,light rain,6.3005,-10.7969,Sunset Inn
363,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
364,Bubaque,GW,82.33,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
366,Oriximina,BR,77.09,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
367,Eydhafushi,MV,82.09,overcast clouds,5.1033,73.0708,Soneva Fushi
368,Sao Filipe,CV,78.01,overcast clouds,14.8961,-24.4956,Hotel Xaguate
371,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
372,Kolokani,ML,78.93,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
373,Salinopolis,BR,78.33,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
375,Makakilo City,US,80.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
380,Almeirim,BR,79.47,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
